id,telegram_id,text,datetime,category_id,channel_id,title,Unnamed: 7,Unnamed: 8,Unnamed: 9
37,157329,"Польша депортировала россиянина, который выдавал себя за экс-сотрудника контрразведки ФСБ",2023-06-07 13:05:29,,-1001394050290,"Польша депортировала россиянина, который выдавал себя за экс-сотрудника контрразведки ФСБ",,,
38,18942,"❗️ **Отряд «ЛизАлерт» в Марий Эл опубликовал статистику за прошлый месяц — всего поступило 22 заявки на поиск.**

В 16 случая волонтеры успешно отработали и нашли пропавших. Один из поисковых дней закончился печальными известиями — потерявшийся погиб. Трижды родственники справились сами. Еще троих людей найти, к сожалению, не удалось.

«Мы благодарим всех, кто принимал участие в поисково-спасательных работах и не остался равнодушным», — заявили волонтеры в паблике во Вконтакте.",2023-06-07 13:06:32,,-1001098860759,❗️ **Отряд «ЛизАлерт» в Марий Эл опубликовал статистику за прошлый месяц — всего поступило 22 заявки на поиск,,,
39,157330,❗️36 населенных пунктов в трех округах подверглись затоплению из-за разрушения плотины Каховской ГЭС в Херсонской области — Сальдо,2023-06-07 13:12:56,,-1001394050290,❗️36 населенных пунктов в трех округах подверглись затоплению из-за разрушения плотины Каховской ГЭС в Херсонской области — Сальдо,,,
40,157331,⚡️Украина обратилась в Международный уголовный суд в Гааге в связи с разрушением Каховской ГЭС,2023-06-07 13:14:32,,-1001394050290,⚡️Украина обратилась в Международный уголовный суд в Гааге в связи с разрушением Каховской ГЭС,,,
41,157332,"❗️В 30 регионах России отмечается тенденция к увеличению уровня ожирения среди граждан, особенно среди мужчин, сообщила главный внештатный специалист по терапии и общей врачебной практике Минздрава России Оксана Драпкина.",2023-06-07 13:25:19,,-1001394050290,"❗️В 30 регионах России отмечается тенденция к увеличению уровня ожирения среди граждан, особенно среди мужчин, сообщила главный внештатный специалист по терапии и общей врачебной практике Минздрава России Оксана Драпкина.",,,
42,157333,"❗️Путин в беседе с Эрдоганом констатировал, что Киев с подачи запада делает опасную ставку на эскалацию боевых действий — Кремль",2023-06-07 13:29:17,,-1001394050290,"❗️Путин в беседе с Эрдоганом констатировал, что Киев с подачи запада делает опасную ставку на эскалацию боевых действий — Кремль",,,
43,157334,"Путин в ходе разговора с Эрдоганом назвал разрушение Каховской ГЭС **варварской акцией Киева**, осуществлённой с подачи западных кураторов — Кремль",2023-06-07 13:29:52,,-1001394050290,"Путин в ходе разговора с Эрдоганом назвал разрушение Каховской ГЭС **варварской акцией Киева**, осуществлённой с подачи западных кураторов — Кремль",,,
44,157335,"**❗️Секретарь Совета национальной безопасности (СНБО) Украины Алексей Данилов заявил, что запланированное наступление еще не начиналось. **

""Когда мы начнем контрнаступление, все об этом узнают, они увидят его"", сказал Данилов агентству Reuters.",2023-06-07 13:36:08,,-1001394050290,"**❗️Секретарь Совета национальной безопасности (СНБО) Украины Алексей Данилов заявил, что запланированное наступление еще не начиналось",,,
45,157336,"❗️Команда ученых из Политехнического института Вирджинии обнаружила способность крокодилов к так называемому **""однополому размножению"" **после того, как самка крокодила в зоопарке Коста-Рики дала потомство, несмотря на отсутствие самца на протяжении 16 лет, сообщает американское издание New York Times со ссылкой на исследование.",2023-06-07 13:57:06,,-1001394050290,"❗️Команда ученых из Политехнического института Вирджинии обнаружила способность крокодилов к так называемому **""однополому размножению"" **после того, как самка крокодила в зоопарке Коста-Рики дала потомство, несмотря на отсутствие самца на протяжении 16 лет, сообщает американское издание New York Times со ссылкой на исследование.",,,
46,157337,"Дефицита рыбы в РФ нет, не было и не будет — глава Росрыболовства",2023-06-07 14:05:23,,-1001394050290,"Дефицита рыбы в РФ нет, не было и не будет — глава Росрыболовства",,,
47,18943,"🚌 **За первый месяц работы на новых маршрутах в Йошкар-Оле водители заработали более 50 тысяч рублей.**

Для запуска всего закупленного транспорта требуются дополнительные водители. МП «Троллейбусный транспорт» продолжает набор сотрудников. Предприятие готово обучить желающих категории D за свой счет, сообщает столичная администрация.

За первый месяц работы на новых маршрутах в Йошкар-Оле водители заработали более 50 тысяч рублей.

Для запуска всего закупленного транспорта требуются дополнительные водители. МП «Троллейбусный транспорт» продолжает набор сотрудников. Предприятие готово обучить желающих категории D за свой счет, сообщает столичная администрация.",2023-06-07 14:05:36,,-1001098860759,🚌 **За первый месяц работы на новых маршрутах в Йошкар-Оле водители заработали более 50 тысяч рублей,,,
49,157338,⚡️Россия будет предельно жестко отвечать на любые атаки Киева на Запорожскую АЭС – МИД РФ,2023-06-07 14:07:47,,-1001394050290,⚡️Россия будет предельно жестко отвечать на любые атаки Киева на Запорожскую АЭС – МИД РФ,,,
50,157339,"❗️Путин и президент ЮАР обсудили африканскую инициативу по урегулированию на Украине, условились, что президент России примет в ближайшее время делегацию ряда глав государств Африки — Кремль",2023-06-07 14:09:29,,-1001394050290,"❗️Путин и президент ЮАР обсудили африканскую инициативу по урегулированию на Украине, условились, что президент России примет в ближайшее время делегацию ряда глав государств Африки — Кремль",,,
51,157340,"❗️Пассажиры самолета, летевшего из Дели в Сан-Франциско и совершившего экстренную посадку в Магадане, пожаловались, что не могут воспользоваться кредитными картами, **они просто не работают в России** — Al Jazeera",2023-06-07 14:15:23,,-1001394050290,"❗️Пассажиры самолета, летевшего из Дели в Сан-Франциско и совершившего экстренную посадку в Магадане, пожаловались, что не могут воспользоваться кредитными картами, **они просто не работают в России** — Al Jazeera",,,
52,157341,"❗️""Справедливая Россия - За правду"" готовит поправки о праве подразделений территориальной обороны использовать стрелковое оружие — Миронов",2023-06-07 14:20:05,,-1001394050290,"❗️""Справедливая Россия - За правду"" готовит поправки о праве подразделений территориальной обороны использовать стрелковое оружие — Миронов",,,
53,157342,"**Власти Нью-Йорка призвали находящихся в зоне риска жителей носить на улице маски в связи с дымом от лесных пожаров, окутавшим город, говорится в заявлении, опубликованном на сайте офиса мэра города Эрика Адамса. 

**Как сообщает газета Washington Post, это произошло впервые за многие годы из-за лесных пожаров в Канаде. В среду утром качество воздуха в городе было признано [очень вредным для здоровья.](https://t.me/navideovidno/62235)",2023-06-07 14:45:28,,-1001394050290,"**Власти Нью-Йорка призвали находящихся в зоне риска жителей носить на улице маски в связи с дымом от лесных пожаров, окутавшим город, говорится в заявлении, опубликованном на сайте офиса мэра города Эрика Адамса",,,
54,157343,"Лето в Москве будет ""раскачиваться"" почти весь июнь, купальный сезон будет отложен на вторую половину месяца, а настоящая жара наступит только в июле, сообщил РИА Новости ведущий специалист центра погоды ""Фобос"" Евгений Тишковец.",2023-06-07 15:01:22,,-1001394050290,"Лето в Москве будет ""раскачиваться"" почти весь июнь, купальный сезон будет отложен на вторую половину месяца, а настоящая жара наступит только в июле, сообщил РИА Новости ведущий специалист центра погоды ""Фобос"" Евгений Тишковец.",,,
55,18944,"**За прошедший месяц специалисты ЦУР в системе «Инцидент Менеджмент» получили и обработали 3726 сообщений жителей Марий Эл.**

Чаще всего граждане интересовались вопросами общественного транспорта - более тысячи обращений. Далее по популярности идет тема дорог и благоустройства - 728 и 603 сообщения соответственно. Реже обращались по темам ЖКХ и соцподдержки - в сумме чуть более 400 комментариев.

Администрация Йошкар-Олы получила больше всего сообщений - 1217. С небольшим отрывом за ней следует региональный Минтранс (986), а на третьем месте оказалась мэрия Волжска, к которой обратились 217 раз.",2023-06-07 15:02:30,,-1001098860759,**За прошедший месяц специалисты ЦУР в системе «Инцидент Менеджмент» получили и обработали 3726 сообщений жителей Марий Эл,,,
56,157344,"**❗️В Николаеве на Украине быстро повышается уровень воды после разрушения Каховской гидроэлектростанции, сообщило украинское издание ""Страна"". **

Сообщается, что уровень воды повышается каждый час. Как заявил мэр города Александр Синкевич, по состоянию на 15.00 уровень воды в акватории Николаева в целом поднялся на 77 сантиметров.",2023-06-07 15:12:45,,-1001394050290,"**❗️В Николаеве на Украине быстро повышается уровень воды после разрушения Каховской гидроэлектростанции, сообщило украинское издание ""Страна""",,,
57,157345,⚡️Лукашенко помиловал россиянку Софью Сапегу —  БЕЛТА,2023-06-07 15:13:01,,-1001394050290,⚡️Лукашенко помиловал россиянку Софью Сапегу —  БЕЛТА,,,
58,157346,"**⚡️Помилованную Президентом Беларуси Александром Лукашенко Софью Сапегу передали 7 июня делегации Приморского края, возглавляемой губернатором Олегом Кожемяко**

""По нашему обращению вчера Александр Григорьевич подписал указ о помиловании. Думаю, что такой шаг имеет и для тебя значение"", - обратился к помилованной Олег Кожемяко.

""Хочется поблагодарить Президента Александра Григорьевича Лукашенко за ту возможность, которую он мне предоставил, за тот подарок не только для меня, но и для всей моей семьи. За возможность вернуться домой, к своей маме, к своему отцу. За то, что мне был дан второй шанс. Он дан был далеко не многим, а мне действительно очень повезло"", - поделилась первыми эмоциями Софья Сапега.",2023-06-07 15:13:39,,-1001394050290,"**⚡️Помилованную Президентом Беларуси Александром Лукашенко Софью Сапегу передали 7 июня делегации Приморского края, возглавляемой губернатором Олегом Кожемяко**",,,
59,157347,"⚡️Губернатор Приморья Кожемяко выкладывает кадры освобождения Софьи Сапеги, помилованной Лукашенко",2023-06-07 15:15:11,,-1001394050290,"⚡️Губернатор Приморья Кожемяко выкладывает кадры освобождения Софьи Сапеги, помилованной Лукашенко",,,
61,4871,"Друзья! Тот сбор фонда Команда-А, о важности которого я говорил…
Мы, КС, как волонтеры фонда, отвечаем за запуск объекта и техническую сторону его работы. 
Без вас, друзья, так нужной фронту рембазе не работать.
Спасибо всем, кто помогает,а не говорит.

https://t.me/bf_komanda_a/39",2023-06-07 15:21:20,,-1001797434593,"Друзья! Тот сбор фонда Команда-А, о важности которого я говорил…",,,
62,157348,"Пока преждевременно говорить о возможном исходе саммита НАТО в Вильнюсе в июле относительно вопроса членства Украины в альянсе, заявил в среду генсек НАТО Йенс Столтенберг, выступая в Центре за новую американскую безопасность.",2023-06-07 15:25:14,,-1001394050290,"Пока преждевременно говорить о возможном исходе саммита НАТО в Вильнюсе в июле относительно вопроса членства Украины в альянсе, заявил в среду генсек НАТО Йенс Столтенберг, выступая в Центре за новую американскую безопасность.",,,
63,157349,Путин поручил главе МЧС организовать помощь людям в зоне затопления Херсонской области и работу ликвидации последствий бедствия — Песков,2023-06-07 15:38:03,,-1001394050290,Путин поручил главе МЧС организовать помощь людям в зоне затопления Херсонской области и работу ликвидации последствий бедствия — Песков,,,
64,157350,"Российская часть аммиакопровода Тольятти - Одесса отсечена от украинской, находится в исправном состоянии и безопасности — ""Трансаммиак""",2023-06-07 15:45:15,,-1001394050290,"Российская часть аммиакопровода Тольятти - Одесса отсечена от украинской, находится в исправном состоянии и безопасности — ""Трансаммиак""",,,
65,157351,"⚡️МВД России подготовило порядок ограничения права управления транспортным средством тем, кто имеет ограничения в едином реестре воинского учета в связи с неявкой по повестке в военкомат",2023-06-07 15:55:22,,-1001394050290,"⚡️МВД России подготовило порядок ограничения права управления транспортным средством тем, кто имеет ограничения в едином реестре воинского учета в связи с неявкой по повестке в военкомат",,,
66,18945,"📰 **Главные новости среды 7 июня: **

📌 На складе в Йошкар-Оле [найдено почти 47 тысяч литров](https://potokmedia.ru/news/494668/v-joshkar-ole-nashli-i-izyali-bolee-46-tysyach-litrov-sidra-leto-sidr/) сидра опасного производства.

📌 В магазине в Звенигово [нашли в продаже опасный напиток](https://potokmedia.ru/news/494770/v-marij-el-vyyavili-40-litrov-opasnogo-pivnogo-napitka-mister-sidr/) «Мистер сидр».

📌 В Марий Эл до 31 октября закрыли часть территории [озера Яльчик](https://potokmedia.ru/news/494608/v-marij-el-do-31-oktyabrya-zakryli-chast-territorii-ozera-yalchik/).

📌 В Марий Эл на птицефабрике в Волжском районе [обнаружен птичий грипп](https://potokmedia.ru/news/494755/v-marij-el-na-pticefabrike-privolzhskaya-obnaruzhena-massovaya-gibel-ptic-iz-za-ptichego-grippa/).

📌 9 и 10 июня в Марий Эл [изменят расписание ](https://potokmedia.ru/news/494809/9-i-10-ijunya-v-marij-el-izmenyat-raspisanie-prigorodnyh-poezdov/)пригородных поездов.

📌 Соцучреждения Марий Эл дополнительно [получат 39 млн рублей](https://potokmedia.ru/news/494870/socuchrezhdeniya-marij-el-dopolnitelno-poluchat-39-mln-rublej/).

📌 Более 13 тысяч детей Марий Эл [отдыхают в детских лагерях](https://potokmedia.ru/news/494883/bolee-13-tysyach-detej-marij-el-otdyhajut-v-detskih-lageryah/).

📌 В Йошкар-Оле художник Илья Белов создаст на стене лицея №28 [новое граффити](https://potokmedia.ru/news/494800/v-joshkar-ole-hudozhnik-ilya-belov-sozdast-na-stene-liceya-28-novoe-graffiti/).

📌 За мая отряд «ЛизаАлерт» Марий Эл занимался [поиском 22 людей](https://potokmedia.ru/news/494904/za-maya-otryad-lizaalert-marij-el-zanimalsya-poiskom-22-ljudej/).


📌 В Марий Эл пройдет [«День пахаря — 2023](https://potokmedia.ru/news/494980/v-marij-el-projdet-den-paharya-2023/)[».](https://potokmedia.ru/news/494980/v-marij-el-projdet-den-paharya-2023/)",2023-06-07 16:00:45,,-1001098860759,📰 **Главные новости среды 7 июня: **,,,
67,157352,"Численность населения РФ с денежными доходами ниже границы бедности в первом квартале 2023 года составила 19,6 миллиона человек, или 13,5%, следует из предварительных данных Росстата.",2023-06-07 16:02:53,,-1001394050290,"Численность населения РФ с денежными доходами ниже границы бедности в первом квартале 2023 года составила 19,6 миллиона человек, или 13,5%, следует из предварительных данных Росстата.",,,
68,157353,"Исполком Международного олимпийского комитета рекомендовал сессии организации отозвать признание Международной боксерской ассоциации.

При этом МОК выступает за сохранение бокса в программе Олимпийских игр 2024 года.",2023-06-07 16:10:06,,-1001394050290,Исполком Международного олимпийского комитета рекомендовал сессии организации отозвать признание Международной боксерской ассоциации,,,
69,157354,"**❗️Информация об обнаружении в источниках питьевой воды в России возбудителя холеры, распространяемая в мессенджерах и социальных сетях, не соответствует действительности, об этом ТАСС заявили в пресс-службе Роспотребнадзора. **

""Видим, что в мессенджерах и социальных сетях снова распространяется сообщение о появлении в воде возбудителей холеры. Это сообщение - фейк годичной давности. Информация об обнаружении в источниках питьевой воды холерных вибрионов не соответствует действительности"", - пояснили агентству в пресс-службе ведомства.",2023-06-07 16:15:06,,-1001394050290,"**❗️Информация об обнаружении в источниках питьевой воды в России возбудителя холеры, распространяемая в мессенджерах и социальных сетях, не соответствует действительности, об этом ТАСС заявили в пресс-службе Роспотребнадзора",,,
